"Year","Population","Homicides"
1979,64992587.6414917,11852
1980,66846833,12225
1981,68669761.6160523,12596
1982,70463216.8123757,13323
1983,72229041.9116977,12918
1984,73969080.2367454,12473
1985,75685175.1102462,14961
1986,77379169.8549272,15909
1987,79052907.7935158,15722
1988,80708232.2487393,15204
1989,82346986.543325,15399
1990,83971014,14497
1991,85583336,15129
1992,87184832,16596
1993,88752014,16044
1994,90265775,15840
1995,91724528,15394
1996,93130089,14349
1997,94478046,13365
1998,95790135,13545
1999,97114831,12098
2000,98438557,10642
2001,,10206
2002,,10020
2003,,9997
2004,,9332
2005,,9933
2006,,10429
2007,,8843
2008,,14175
2009,,19900
2010,112322757,25900
